Variable,Overall,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"SOFA CNS, median [Q1,Q3]","0.0 [0.0,1.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,2.0]","0.0 [0.0,3.0]","0.0 [0.0,3.0]","1.0 [0.0,3.0]","1.0 [0.0,3.0]","1.0 [0.0,3.0]"
"SOFA RENAL, median [Q1,Q3]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]"
Admission Location n (%): ed,97290 (63.2%),2606 (51.6%),4961 (58.8%),5215 (58.6%),6977 (64.3%),8292 (64.8%),8446 (65.5%),8533 (63.4%),8995 (64.1%),8926 (64.9%),8490 (66.5%),6292 (60.2%),6326 (62.7%),6522 (63.1%),6709 (65.6%)
Admission Location n (%): icu,41951 (27.2%),1832 (36.2%),2593 (30.8%),2685 (30.1%),2774 (25.6%),3249 (25.4%),3237 (25.1%),3609 (26.8%),3681 (26.2%),3534 (25.7%),3052 (23.9%),3065 (29.3%),2972 (29.5%),2974 (28.8%),2694 (26.3%)
Admission Location n (%): ward,12187 (7.9%),520 (10.3%),718 (8.5%),810 (9.1%),880 (8.1%),1039 (8.1%),1030 (8.0%),1115 (8.3%),1181 (8.4%),1119 (8.1%),995 (7.8%),877 (8.4%),630 (6.2%),629 (6.1%),644 (6.3%)
Admission Location n (%): stepdown,1891 (1.2%),78 (1.5%),122 (1.4%),154 (1.7%),173 (1.6%),153 (1.2%),144 (1.1%),163 (1.2%),143 (1.0%),139 (1.0%),121 (0.9%),162 (1.6%),111 (1.1%),128 (1.2%),100 (1.0%)
Admission Location n (%): l&d,583 (0.4%),18 (0.4%),33 (0.4%),38 (0.4%),37 (0.3%),53 (0.4%),41 (0.3%),41 (0.3%),34 (0.2%),40 (0.3%),30 (0.2%),48 (0.5%),45 (0.4%),69 (0.7%),56 (0.5%)
Admission Location n (%): other,57 (0.0%),,,,,,,,,,57 (0.4%),,,,
Admission Location n (%): procedural,41 (0.0%),,,,,,,,,,16 (0.1%),,,6 (0.1%),19 (0.2%)
Admission Location n (%): radiology,13 (0.0%),,3 (0.0%),3 (0.0%),5 (0.0%),,,,,1 (0.0%),1 (0.0%),,,,
Admission Location n (%): psych,8 (0.0%),,,1 (0.0%),,1 (0.0%),,,1 (0.0%),1 (0.0%),1 (0.0%),1 (0.0%),,,2 (0.0%)
"Total ICU days, median [Q1,Q3]","1.5 [0.8,2.9]","1.6 [0.8,3.2]","1.3 [0.8,2.7]","1.4 [0.8,2.9]","1.4 [0.8,2.8]","1.3 [0.8,2.8]","1.3 [0.8,2.7]","1.3 [0.8,2.7]","1.4 [0.8,2.7]","1.4 [0.8,2.7]","1.4 [0.8,2.9]","1.7 [0.8,3.6]","1.9 [0.9,3.8]","1.8 [0.9,3.4]","1.7 [0.8,3.1]"
"Total hospital days, median [Q1,Q3]","5.1 [2.7,10.2]","5.3 [2.7,10.8]","5.1 [2.6,10.1]","5.5 [2.8,10.7]","4.8 [2.4,9.1]","4.7 [2.4,8.8]","4.9 [2.4,9.0]","4.7 [2.3,9.0]","4.7 [2.3,8.8]","4.9 [2.4,9.2]","5.6 [2.7,11.7]","6.8 [3.2,14.0]","6.2 [3.1,12.8]","6.1 [3.1,12.1]","5.7 [2.9,10.9]"
Vasopressor encounters n (%),47353.0 (32.7%),871.0 (18.0%),1586.0 (20.0%),1923.0 (22.6%),2418.0 (23.4%),2934.0 (24.1%),3237.0 (26.5%),3658.0 (28.6%),3876.0 (29.1%),4064.0 (31.2%),4689.0 (40.4%),4454.0 (46.6%),4593.0 (48.9%),4673.0 (48.6%),4377.0 (46.0%)
"Number of pressors received, mean [SD]",0.5 (0.8),0.3 (0.7),0.3 (0.7),0.3 (0.7),0.3 (0.7),0.3 (0.7),0.4 (0.7),0.4 (0.8),0.4 (0.8),0.4 (0.8),0.6 (0.9),0.7 (0.9),0.7 (1.0),0.7 (0.9),0.6 (0.9)
"Angiotensin dose, median [Q1,Q3]","0.03 [0.01,0.04]",,,,,,,,"0.02 [0.00,0.04]","0.02 [0.01,0.04]","0.03 [0.01,0.04]","0.03 [0.01,0.05]","0.03 [0.01,0.04]","0.03 [0.01,0.04]","0.03 [0.01,0.04]"
"Dopamine dose, median [Q1,Q3]","4.00 [1.50,8.00]","5.00 [1.50,8.00]","5.00 [1.50,9.50]","5.00 [1.50,9.00]","4.00 [1.50,9.00]","3.50 [1.62,7.50]","4.00 [1.25,8.09]","4.00 [1.50,8.56]","3.00 [1.50,7.50]","4.00 [1.50,7.50]","4.00 [1.84,8.00]","3.50 [1.60,8.00]","3.00 [1.25,7.00]","3.00 [1.25,6.00]","4.00 [1.25,7.50]"
"Epinephrine dose, median [Q1,Q3]","0.03 [0.01,0.06]","0.03 [0.01,0.05]","0.02 [0.01,0.05]","0.02 [0.01,0.05]","0.03 [0.01,0.05]","0.03 [0.01,0.05]","0.03 [0.01,0.06]","0.03 [0.01,0.06]","0.03 [0.01,0.06]","0.03 [0.01,0.06]","0.03 [0.01,0.06]","0.03 [0.01,0.06]","0.03 [0.01,0.06]","0.03 [0.01,0.06]","0.03 [0.01,0.05]"
"Norepinephrine dose, median [Q1,Q3]","0.05 [0.02,0.13]","0.06 [0.02,0.19]","0.06 [0.02,0.16]","0.06 [0.02,0.18]","0.06 [0.02,0.18]","0.05 [0.02,0.15]","0.05 [0.02,0.14]","0.05 [0.02,0.14]","0.05 [0.02,0.14]","0.05 [0.02,0.14]","0.05 [0.02,0.13]","0.05 [0.02,0.12]","0.04 [0.02,0.12]","0.04 [0.02,0.11]","0.04 [0.01,0.10]"
"Phenylephrine dose, median [Q1,Q3]","0.37 [0.10,0.89]","0.50 [0.15,1.76]","0.50 [0.12,1.16]","0.40 [0.10,1.00]","0.40 [0.10,1.00]","0.38 [0.10,0.97]","0.35 [0.10,0.85]","0.35 [0.10,0.80]","0.32 [0.08,0.85]","0.30 [0.08,0.80]","0.40 [0.10,1.00]","0.40 [0.10,1.00]","0.34 [0.10,0.80]","0.38 [0.10,0.80]","0.33 [0.10,0.73]"
"Vasopressin dose, median [Q1,Q3]","0.04 [0.02,0.04]","0.04 [0.02,0.04]","0.04 [0.02,0.04]","0.04 [0.02,0.04]","0.04 [0.02,0.04]","0.04 [0.02,0.04]","0.04 [0.02,0.04]","0.04 [0.01,0.04]","0.04 [0.02,0.04]","0.04 [0.02,0.04]","0.04 [0.02,0.04]","0.04 [0.02,0.04]","0.04 [0.02,0.05]","0.04 [0.02,0.04]","0.04 [0.02,0.04]"
IMV encounters n (%),46932 (32.4%),1479 (30.5%),2515 (31.8%),2711 (31.9%),2957 (28.7%),3333 (27.4%),3761 (30.8%),3806 (29.8%),3868 (29.0%),3883 (29.8%),4363 (37.6%),4007 (41.9%),3607 (38.4%),3465 (36.0%),3177 (33.4%)
First location of intubation n (%): icu,38258 (81.5%),1237 (83.6%),2066 (82.1%),2213 (81.6%),2397 (81.1%),2691 (80.7%),3049 (81.1%),3079 (80.9%),3155 (81.6%),3056 (78.7%),3554 (81.5%),3423 (85.4%),2994 (83.0%),2847 (82.2%),2497 (78.6%)
First location of intubation n (%): ed,5117 (10.9%),69 (4.7%),193 (7.7%),224 (8.3%),274 (9.3%),352 (10.6%),401 (10.7%),410 (10.8%),475 (12.3%),516 (13.3%),544 (12.5%),417 (10.4%),419 (11.6%),409 (11.8%),414 (13.0%)
First location of intubation n (%): procedural,3110 (6.6%),156 (10.5%),222 (8.8%),240 (8.9%),255 (8.6%),247 (7.4%),265 (7.0%),292 (7.7%),207 (5.4%),282 (7.3%),208 (4.8%),145 (3.6%),175 (4.9%),186 (5.4%),230 (7.2%)
First location of intubation n (%): ward,306 (0.7%),11 (0.7%),23 (0.9%),15 (0.6%),18 (0.6%),36 (1.1%),29 (0.8%),24 (0.6%),25 (0.6%),19 (0.5%),42 (1.0%),15 (0.4%),12 (0.3%),12 (0.3%),25 (0.8%)
First location of intubation n (%): stepdown,117 (0.2%),6 (0.4%),10 (0.4%),18 (0.7%),13 (0.4%),6 (0.2%),12 (0.3%),1 (0.0%),5 (0.1%),9 (0.2%),3 (0.1%),6 (0.1%),7 (0.2%),10 (0.3%),11 (0.3%)
First location of intubation n (%): other,13 (0.0%),,1 (0.0%),,,,,,,,12 (0.3%),,,,
First location of intubation n (%): radiology,5 (0.0%),,,,,,4 (0.1%),,,,,,,1 (0.0%),
First location of intubation n (%): l&d,3 (0.0%),,,1 (0.0%),,1 (0.0%),1 (0.0%),,,,,,,,
First location of intubation n (%): dialysis,3 (0.0%),,,,,,,,1 (0.0%),1 (0.0%),,1 (0.0%),,,
Initial mode for IMV n (%): assist control-volume control,41647 (88.7%),1175 (79.4%),1908 (75.9%),2121 (78.2%),2483 (84.0%),2862 (85.9%),3236 (86.0%),3492 (91.7%),3553 (91.9%),3540 (91.2%),4044 (92.7%),3709 (92.6%),3335 (92.5%),3239 (93.5%),2950 (92.9%)
Initial mode for IMV n (%): simv,2366 (5.0%),216 (14.6%),459 (18.3%),431 (15.9%),286 (9.7%),269 (8.1%),264 (7.0%),78 (2.0%),53 (1.4%),74 (1.9%),56 (1.3%),57 (1.4%),45 (1.2%),51 (1.5%),27 (0.8%)
